slice_file_name,fsID,start,end,salience,fold,classID,class
102857.wav,,0,64.47603175,1,2,3,engine idling
102858.wav,,0,15.0,1,2,3,engine idling
103249.wav,,0,42.49345833,1,2,3,engine idling
103258.wav,,0,42.49345833,1,2,3,engine idling
103438.wav,,0,14.0260771,1,2,3,engine idling
106014.wav,,0,17.64533333,1,2,3,engine idling
106015.wav,,0,49.92533333,1,2,3,engine idling
107228.wav,,0,24.37079365,1,2,3,engine idling
119449.wav,,0,19.03333333,1,2,3,engine idling
119455.wav,,0,19.9,1,2,3,engine idling
123685.wav,,0,25.7785034,1,2,3,engine idling
12812.wav,,0,8.3230839,1,2,3,engine idling
128160.wav,,0,34.38133333,1,2,3,engine idling
144068.wav,,0,199.6186667,1,2,3,engine idling
146186.wav,,0,30.62558333,1,2,3,engine idling
151877.wav,,0,23.73077098,1,2,3,engine idling
152908.wav,,0,30.59705215,1,2,3,engine idling
154758.wav,,0,52.544,1,2,3,engine idling
15544.wav,,0,72.176,1,2,3,engine idling
156358.wav,,0,23.088,1,2,3,engine idling
156634.wav,,0,64.93011338,1,2,3,engine idling
166101.wav,,0,55.51029478,1,2,3,engine idling
16692.wav,,0,27.52925,1,2,3,engine idling
17578.wav,,0,75.4677551,1,2,3,engine idling
176638.wav,,0,9.557333333,1,2,3,engine idling
176787.wav,,0,141.8480833,1,2,3,engine idling
17853.wav,,0,91.72537415,1,2,3,engine idling
186935.wav,,0,6.067414966,1,2,3,engine idling
186936.wav,,0,7.58625,1,2,3,engine idling
186938.wav,,0,4.539395833,1,2,3,engine idling
186940.wav,,0,3.836598639,1,2,3,engine idling
187075.wav,,0,35.28290249,1,2,3,engine idling
19338.wav,,0,44.42557823,1,2,3,engine idling
195451.wav,,0,49.3815873,1,2,3,engine idling
200786.wav,,0,126.467483,1,2,3,engine idling
201652.wav,,0,273.0,1,2,3,engine idling
201988.wav,,0,57.55646259,1,2,3,engine idling
209864.wav,,0,12.87698413,1,2,3,engine idling
209992.wav,,0,599.4197083,1,2,3,engine idling
21187.wav,,0,1.220340136,1,2,3,engine idling
23218.wav,,0,5.250333333,1,2,3,engine idling
23219.wav,,0,51.172375,1,2,3,engine idling
26184.wav,,0,25.68510204,1,2,3,engine idling
39847.wav,,0,47.67997732,1,2,3,engine idling
39852.wav,,0,8.447981859,1,2,3,engine idling
39854.wav,,0,160.2559637,1,2,3,engine idling
39856.wav,,0,61.11997732,1,2,3,engine idling
39857.wav,,0,49.15197279,1,2,3,engine idling
39884.wav,,0,34.709375,1,2,3,engine idling
