Audio Name,Segment,Time Frame,Predicted Inference,Ground Truth Inference,Class Confidence
1720176358-971203_pr_2693_cc_m_19_wg_04277_0000-1014_10_0000000.wav,0,0-5 sec,Engine_rev,Music,"{np.str_('Engine_rev'): '83.85%', np.str_('Female'): '0.27%', np.str_('Male'): '0.50%', np.str_('Music'): '15.25%', np.str_('No_sound'): '0.14%'}"
1720176358-971203_pr_2693_cc_m_19_wg_04277_0000-1014_10_0000000.wav,5,5-10 sec,Engine_rev,Music,"{np.str_('Engine_rev'): '63.79%', np.str_('Female'): '0.48%', np.str_('Male'): '2.24%', np.str_('Music'): '33.28%', np.str_('No_sound'): '0.20%'}"
1720176358-971203_pr_2693_cc_m_19_wg_04277_0000-1014_10_0000000.wav,10,10-15 sec,Engine_rev,Music,"{np.str_('Engine_rev'): '59.79%', np.str_('Female'): '0.82%', np.str_('Male'): '6.88%', np.str_('Music'): '32.14%', np.str_('No_sound'): '0.36%'}"
1720176358-971203_pr_2693_cc_m_19_wg_04277_0000-1014_10_0000000.wav,15,15-20 sec,Engine_rev,Music,"{np.str_('Engine_rev'): '76.22%', np.str_('Female'): '0.36%', np.str_('Male'): '1.05%', np.str_('Music'): '22.21%', np.str_('No_sound'): '0.17%'}"
1720176358-971203_pr_2693_cc_m_19_wg_04277_0000-1014_10_0000000.wav,20,20-25 sec,Engine_rev,Male,"{np.str_('Engine_rev'): '76.68%', np.str_('Female'): '0.34%', np.str_('Male'): '0.82%', np.str_('Music'): '22.00%', np.str_('No_sound'): '0.16%'}"
1720176358-971203_pr_2693_cc_m_19_wg_04277_0000-1014_10_0000000.wav,25,25-30 sec,Engine_rev,Male,"{np.str_('Engine_rev'): '59.22%', np.str_('Female'): '0.56%', np.str_('Male'): '2.55%', np.str_('Music'): '37.44%', np.str_('No_sound'): '0.23%'}"
1720176358-971203_pr_2693_cc_m_19_wg_04277_0000-1014_10_0000000.wav,30,30-35 sec,Engine_rev,"Male,Music","{np.str_('Engine_rev'): '73.88%', np.str_('Female'): '0.61%', np.str_('Male'): '3.39%', np.str_('Music'): '21.81%', np.str_('No_sound'): '0.31%'}"
1720176358-971203_pr_2693_cc_m_19_wg_04277_0000-1014_10_0000000.wav,35,35-40 sec,Engine_rev,No_sound,"{np.str_('Engine_rev'): '76.58%', np.str_('Female'): '0.38%', np.str_('Male'): '1.10%', np.str_('Music'): '21.76%', np.str_('No_sound'): '0.18%'}"
1720176358-971203_pr_2693_cc_m_19_wg_04277_0000-1014_10_0000000.wav,40,40-45 sec,Engine_rev,"Male,Music","{np.str_('Engine_rev'): '69.13%', np.str_('Female'): '0.79%', np.str_('Male'): '7.31%', np.str_('Music'): '22.34%', np.str_('No_sound'): '0.43%'}"
1720176358-971203_pr_2693_cc_m_19_wg_04277_0000-1014_10_0000000.wav,45,45-50 sec,Engine_rev,"Male,Music","{np.str_('Engine_rev'): '86.54%', np.str_('Female'): '0.28%', np.str_('Male'): '0.52%', np.str_('Music'): '12.51%', np.str_('No_sound'): '0.15%'}"
